player_name,sofascore_id,month_matches,interval_start,interval_end,club_at_call,minutes_played_club,avg_score_club,games_club,minutes_played_national_team,avg_score_national_team,games_nt,status
Vinícius Júnior,868812,November 2024,2024-10-16,2024-11-01,Real Madrid,270,8.03,3,180,7,2,OK
Alisson,243609,March 2025,2024-11-20,2025-03-06,Liverpool,1620,7.13,18,78,6.8,1,OK
Bento,1016104,March 2025,2024-11-20,2025-03-06,Al-Nassr,1440,7.1,16,102,6.4,2,OK
Ederson,254491,March 2025,2024-11-20,2025-03-06,Manchester City,1260,7.09,14,0,,0,OK
Weverton,243529,March 2025,2024-11-20,2025-03-06,Palmeiras,1440,7.03,16,0,,0,OK
Lucas Perri,871290,March 2025,2024-11-20,2025-03-06,Lyon,1710,7.31,19,0,,0,OK
Danilo,1064039,March 2025,2024-11-20,2025-03-06,Flamengo,283,6.68,6,0,,0,OK
Alex Sandro,84854,March 2025,2024-11-20,2025-03-06,Flamengo,435,7.17,7,0,,0,OK
Gabriel Magalhães,869792,March 2025,2024-11-20,2025-03-06,Arsenal,1878,7.25,22,90,7,1,OK
Guilherme Arana,1127439,March 2025,2024-11-20,2025-03-06,Atlético-MG,1019,7.2,14,180,6.5,2,OK
Léo Ortiz,869643,March 2025,2024-11-20,2025-03-06,Flamengo,838,7.3,11,46,6.2,2,OK
Marquinhos,155995,March 2025,2024-11-20,2025-03-06,PSG,1494,7.44,18,180,6.5,2,OK
Murillo,1199282,March 2025,2024-11-20,2025-03-06,Nottingham Forest,1430,7.24,16,45,6.2,1,OK
Vanderson,1090694,March 2025,2024-11-20,2025-03-06,Monaco,1640,7.05,20,79,6.5,1,OK
Wesley,1134200,March 2025,2024-11-20,2025-03-06,Flamengo,883,7.32,12,101,6.75,2,OK
André,1035996,March 2025,2024-11-20,2025-03-06,Wolverhampton,1374,6.87,18,96,6.7,2,OK
Bruno Guimarães,866469,March 2025,2024-11-20,2025-03-06,Newcastle,1695,7.21,21,78,7,1,OK
Gerson,611876,March 2025,2024-11-20,2025-03-06,Flamengo,757,7.24,10,28,6.8,1,OK
Joelinton,560128,March 2025,2024-11-20,2025-03-06,Newcastle,1230,6.87,16,107,6.3,2,OK
Matheus Cunha,886363,March 2025,2024-11-20,2025-03-06,Wolverhampton,1468,7.6,17,99,6.95,2,OK
Neymar,124712,March 2025,2024-11-20,2025-03-06,Santos,508,7.73,7,0,,0,OK
Endrick,1174937,March 2025,2024-11-20,2025-03-06,Real Madrid,378,6.91,17,45,6.6,1,OK
Estêvão,1597265,March 2025,2024-11-20,2025-03-06,Palmeiras,1172,7.4,15,0,,0,OK
João Pedro,975079,March 2025,2024-11-20,2025-03-06,Brighton,1352,7.18,18,60,6.5,1,OK
Raphinha,831005,March 2025,2024-11-20,2025-03-06,Barcelona,1865,7.87,23,180,7.4,2,OK
Rodrygo,910536,March 2025,2024-11-20,2025-03-06,Real Madrid,1715,7.67,24,123,6.45,2,OK
Savinho,1046795,March 2025,2024-11-20,2025-03-06,Manchester City,1333,7.09,21,33,6.7,2,OK
Vinícius Júnior,868812,March 2025,2024-11-20,2025-03-06,Real Madrid,1609,7.28,20,179,7.45,2,OK
Alisson,243609,June 2025,2025-03-26,2025-05-26,Liverpool,630,7.24,7,180,7.1,2,OK
Bento,1016104,June 2025,2025-03-26,2025-05-26,Al-Nassr,990,6.84,11,0,,0,OK
Hugo Souza,950454,June 2025,2025-03-26,2025-05-26,Corinthians,990,6.99,11,0,,0,OK
Alex Sandro,84854,June 2025,2025-03-26,2025-05-26,Flamengo,866,7.15,11,164,6.9,2,OK
Alexsandro Ribeiro,1049775,June 2025,2025-03-26,2025-05-26,Lille,630,7.13,7,180,7.3,2,OK
Lucas Beraldo,1108441,June 2025,2025-03-26,2025-05-26,PSG,684,6.95,10,16,6.5,1,OK
Carlos Augusto,929199,June 2025,2025-03-26,2025-05-26,Inter de Milão,917,7.02,14,0,,0,OK
Danilo,1064039,June 2025,2025-03-26,2025-05-26,Flamengo,228,6.7,5,0,,0,OK
Léo Ortiz,869643,June 2025,2025-03-26,2025-05-26,Flamengo,1183,7.29,14,0,,0,OK
Marquinhos,155995,June 2025,2025-03-26,2025-05-26,PSG,773,7.42,9,180,7.15,2,OK
Vanderson,1090694,June 2025,2025-03-26,2025-05-26,Monaco,392,7.01,7,179,7.5,2,OK
Wesley,1134200,June 2025,2025-03-26,2025-05-26,Flamengo,1045,7.32,13,0,,0,OK
Andreas Pereira,285949,June 2025,2025-03-26,2025-05-26,Fulham,501,6.64,8,1,,1,OK
Andrey Santos,1105779,June 2025,2025-03-26,2025-05-26,Strasbourg,720,7.45,8,12,6.5,1,OK
Bruno Guimarães,866469,June 2025,2025-03-26,2025-05-26,Newcastle,851,7.23,10,179,7.5,2,OK
Casemiro,122951,June 2025,2025-03-26,2025-05-26,Manchester United,845,7.6,10,180,7.4,2,OK
Éderson,946888,June 2025,2025-03-26,2025-05-26,Atalanta,562,7.01,8,0,,0,OK
Gerson,611876,June 2025,2025-03-26,2025-05-26,Flamengo,1019,7.26,14,89,6.7,2,OK
Antony,958380,June 2025,2025-03-26,2025-05-26,Betis,1138,7.51,14,0,,0,OK
Estêvão,1597265,June 2025,2025-03-26,2025-05-26,Palmeiras,1306,7.08,17,64,6.7,1,OK
Gabriel Martinelli,922573,June 2025,2025-03-26,2025-05-26,Arsenal,1062,7.06,13,116,6.9,2,OK
Matheus Cunha,886363,June 2025,2025-03-26,2025-05-26,Wolverhampton,455,7.63,7,105,7.05,2,OK
Raphinha,831005,June 2025,2025-03-26,2025-05-26,Barcelona,1220,7.72,15,90,7.6,1,OK
Richarlison,840217,June 2025,2025-03-26,2025-05-26,Tottenham,404,6.58,10,76,6.25,2,OK
Vinícius Júnior,868812,June 2025,2025-03-26,2025-05-26,Real Madrid,898,7.33,12,168,6.7,2,OK
Alisson,243609,September 2025,2025-06-11,2025-08-25,Liverpool,315,7.22,4,180,7.65,2,OK
Bento,1016104,September 2025,2025-06-11,2025-08-25,Al-Nassr,315,6.55,5,0,,0,OK
Hugo Souza,950454,September 2025,2025-06-11,2025-08-25,Corinthians,1080,6.94,12,0,,0,OK
Alexsandro Ribeiro,1049775,September 2025,2025-06-11,2025-08-25,Lille,225,6.77,7,90,6.4,1,OK
Caio Henrique,845170,September 2025,2025-06-11,2025-08-25,Monaco,338,7.28,9,90,6.9,1,OK
Douglas Santos,243583,September 2025,2025-06-11,2025-08-25,Zenit,411,6.58,9,90,7.7,1,OK
Fabrício Bruno,840220,September 2025,2025-06-11,2025-08-25,Cruzeiro,1080,7.39,14,90,6.6,1,OK
Gabriel Magalhães,869792,September 2025,2025-06-11,2025-08-25,Arsenal,271,7.25,4,90,7.3,1,OK
Marquinhos,155995,September 2025,2025-06-11,2025-08-25,PSG,675,7.29,8,119,7.2,2,OK
Vitinho,914477,September 2025,2025-06-11,2025-08-25,Botafogo,1249,7.12,16,61,6.5,1,OK
Vanderson,1090694,September 2025,2025-06-11,2025-08-25,Monaco,132,6.8,6,0,,0,OK
Wesley,1134200,September 2025,2025-06-11,2025-08-25,Roma,808,6.97,11,90,7.8,1,OK
Andrey Santos,1105779,September 2025,2025-06-11,2025-08-25,Chelsea,300,6.71,8,97,6.85,2,OK
Bruno Guimarães,866469,September 2025,2025-06-11,2025-08-25,Newcastle,450,7.1,6,180,8.05,2,OK
Casemiro,122951,September 2025,2025-06-11,2025-08-25,Manchester United,236,6.95,7,66,7.3,1,OK
Joelinton,560128,September 2025,2025-06-11,2025-08-25,Newcastle,381,6.34,5,0,,0,OK
Lucas Paquetá,839981,September 2025,2025-06-11,2025-08-25,West Ham,180,7.7,6,109,7.1,2,OK
Jean Lucas,927975,September 2025,2025-06-11,2025-08-25,Bahia,1066,7.15,13,17,6.4,1,OK
Estêvão,1597265,September 2025,2025-06-11,2025-08-25,Chelsea,604,7.02,9,95,7.25,2,OK
Gabriel Martinelli,922573,September 2025,2025-06-11,2025-08-25,Arsenal,325,6.7,6,71,7.4,1,OK
João Pedro,975079,September 2025,2025-06-11,2025-08-25,Chelsea,412,7.59,7,100,6.65,2,OK
Kaio Jorge,954888,September 2025,2025-06-11,2025-08-25,Cruzeiro,982,7.21,14,19,6.5,1,OK
Luiz Henrique,1035995,September 2025,2025-06-11,2025-08-25,Zenit,278,6.95,8,85,7.25,2,OK
Matheus Cunha,886363,September 2025,2025-06-11,2025-08-25,Manchester United,315,6.8,6,0,,0,OK
Samuel Lino,874705,September 2025,2025-06-11,2025-08-25,Flamengo,601,7.31,10,61,6.5,1,OK
Raphinha,831005,September 2025,2025-06-11,2025-08-25,Barcelona,302,7.12,6,108,7,2,OK
Richarlison,840217,September 2025,2025-06-11,2025-08-25,Tottenham,446,7.19,7,72,6.45,2,OK
Bento,1016104,October 2025,2025-09-10,2025-10-01,Al-Nassr,360,7.03,4,90,6.9,1,OK
John,840103,October 2025,2025-09-10,2025-10-01,Nottingham Forest,90,5.3,1,0,,0,OK
Hugo Souza,950454,October 2025,2025-09-10,2025-10-01,Corinthians,450,7.12,5,90,6,1,OK
Caio Henrique,845170,October 2025,2025-09-10,2025-10-01,Monaco,173,6.47,4,15,7,1,OK
Carlos Augusto,929199,October 2025,2025-09-10,2025-10-01,Internazionale,209,6.7,4,95,6.55,2,OK
Douglas Santos,243583,October 2025,2025-09-10,2025-10-01,Zenit,270,7.17,3,70,7,1,OK
Éder Militão,822519,October 2025,2025-09-10,2025-10-01,Real Madrid,315,7.35,4,90,7.6,1,OK
Fabrício Bruno,840220,October 2025,2025-09-10,2025-10-01,Cruzeiro,360,7.28,4,90,6.5,1,OK
Gabriel Magalhães,869792,October 2025,2025-09-10,2025-10-01,Arsenal,454,7.27,6,90,7.1,1,OK
Lucas Beraldo,1108441,October 2025,2025-09-10,2025-10-01,PSG,160,8.15,2,90,6.6,1,OK
Vitinho,914477,October 2025,2025-09-10,2025-10-01,Botafogo,549,6.73,7,70,7.1,1,OK
Wesley,1134200,October 2025,2025-09-10,2025-10-01,Roma,149,6.8,2,0,,0,OK
Paulo Henrique,1021721,October 2025,2025-09-10,2025-10-01,Vasco da Gama,540,7.08,6,110,7.1,2,OK
André,1035996,October 2025,2025-09-10,2025-10-01,Wolverhampton,261,7.15,4,11,6.6,1,OK
Bruno Guimarães,866469,October 2025,2025-09-10,2025-10-01,Newcastle,433,7.02,5,136,7.6,2,OK
Casemiro,122951,October 2025,2025-09-10,2025-10-01,Manchester United,60,6.45,2,180,7.55,2,OK
João Gomes,1015267,October 2025,2025-09-10,2025-10-01,Wolverhampton,253,6.67,4,0,,0,OK
Joelinton,560128,October 2025,2025-09-10,2025-10-01,Newcastle,365,7.22,5,33,6.9,1,OK
Lucas Paquetá,839981,October 2025,2025-09-10,2025-10-01,West Ham,247,6.43,3,95,7,2,OK
Estêvão,1597265,October 2025,2025-09-10,2025-10-01,Chelsea,145,6.55,5,85,7.35,2,OK
Gabriel Martinelli,922573,October 2025,2025-09-10,2025-10-01,Arsenal,215,7.08,6,57,6.8,1,OK
Igor Jesus,981619,October 2025,2025-09-10,2025-10-01,Nottingham Forest,154,7.3,4,10,6.7,1,OK
Luiz Henrique,1035995,October 2025,2025-09-10,2025-10-01,Zenit,244,7.1,4,75,6.7,1,OK
Matheus Cunha,886363,October 2025,2025-09-10,2025-10-01,Manchester United,116,6.8,2,113,7.15,2,OK
Richarlison,840217,October 2025,2025-09-10,2025-10-01,Tottenham,395,6.55,6,26,6.6,2,OK
Rodrygo,910536,October 2025,2025-09-10,2025-10-01,Real Madrid,124,6.96,5,123,8.05,2,OK
Vinícius Júnior,868812,October 2025,2025-09-10,2025-10-01,Real Madrid,422,6.92,6,136,7.45,2,OK
Bento,1016104,November 2025,2025-10-15,2025-11-03,Al-Nassr,180,6.1,2,90,6.7,1,OK
Ederson,254491,November 2025,2025-10-15,2025-11-03,Fenerbahçe,270,7.4,3,90,6.8,1,OK
Hugo Souza,950454,November 2025,2025-10-15,2025-11-03,Corinthians,180,7.1,2,0,,0,OK
John,840103,November 2025,2025-10-15,2025-11-03,Nottingham Forest,0,,0,0,,0,OK
Alex Sandro,84854,November 2025,2025-10-15,2025-11-03,Flamengo,325,6.9,4,89,7,1,OK
Danilo,1064039,November 2025,2025-10-15,2025-11-03,Flamengo,168,7.15,2,0,,0,OK
Caio Henrique,845170,November 2025,2025-10-15,2025-11-03,Monaco,270,7.37,3,91,7.1,2,OK
Éder Militão,822519,November 2025,2025-10-15,2025-11-03,Real Madrid,360,7.7,4,150,7.1,2,OK
Fabrício Bruno,840220,November 2025,2025-10-15,2025-11-03,Cruzeiro,161,6.85,2,31,6.8,2,OK
Gabriel Magalhães,869792,November 2025,2025-10-15,2025-11-03,Arsenal,362,7.66,5,64,6.9,1,OK
Luciano Juba,1017264,November 2025,2025-10-15,2025-11-03,Bahia,199,7.37,3,0,,0,OK
Marquinhos,155995,November 2025,2025-10-15,2025-11-03,PSG,113,7.1,2,180,6.95,2,OK
Paulo Henrique,1021721,November 2025,2025-10-15,2025-11-03,Vasco,270,7.23,3,0,,0,OK
Wesley,1134200,November 2025,2025-10-15,2025-11-03,Roma,443,7,5,71,6.6,2,OK
Andrey Santos,1105779,November 2025,2025-10-15,2025-11-03,Chelsea,193,7.05,4,0,,0,OK
Bruno Guimarães,866469,November 2025,2025-10-15,2025-11-03,Newcastle,365,7,5,150,7.05,2,OK
Casemiro,122951,November 2025,2025-10-15,2025-11-03,Manchester United,218,7.8,3,150,7.6,2,OK
Fabinho,243585,November 2025,2025-10-15,2025-11-03,Al-Ittihad,392,7.08,5,30,6.7,1,OK
Lucas Paquetá,839981,November 2025,2025-10-15,2025-11-03,West Ham,270,7.4,3,41,6.4,2,OK
Estêvão,1597265,November 2025,2025-10-15,2025-11-03,Chelsea,207,6.8,5,173,7.85,2,OK
João Pedro,975079,November 2025,2025-10-15,2025-11-03,Chelsea,265,6.9,3,25,6.7,1,OK
Luiz Henrique,1035995,November 2025,2025-10-15,2025-11-03,Zenit,260,6.97,3,22,6.5,2,OK
Matheus Cunha,886363,November 2025,2025-10-15,2025-11-03,Manchester United,261,7.7,3,110,7.15,2,OK
Richarlison,840217,November 2025,2025-10-15,2025-11-03,Tottenham,236,6.68,5,0,,0,OK
Rodrygo,910536,November 2025,2025-10-15,2025-11-03,Real Madrid,115,6.73,3,162,7.65,2,OK
Vinícius Júnior,868812,November 2025,2025-10-15,2025-11-03,Real Madrid,270,6.97,4,179,7.15,2,OK
Vitor Roque,1150391,November 2025,2025-10-15,2025-11-03,Palmeiras,420,7.38,6,45,7.3,1,OK
Alisson,243609,March 2026,2025-11-19,2026-03-16,Liverpool,2160,6.87,24,0,,0,OK
Hugo Souza,950454,March 2026,2025-11-19,2026-03-16,Corinthians,1980,6.88,22,0,,0,OK
Bento,1016104,March 2026,2025-11-19,2026-03-16,Al-Nassr,1350,7.11,16,90,5.9,1,OK
Ederson,254491,March 2026,2025-11-19,2026-03-16,Fenerbahçe,1800,6.95,20,90,5.4,1,OK
Alex Sandro,84854,March 2026,2025-11-19,2026-03-16,Flamengo,1416,6.89,17,0,,0,OK
Kaiki,1112484,March 2026,2025-11-19,2026-03-16,Cruzeiro,1768,6.73,20,14,6.2,1,OK
Gabriel Magalhães,869792,March 2026,2025-11-19,2026-03-16,Arsenal,1537,7.25,19,0,,0,OK
Bremer,885197,March 2026,2025-11-19,2026-03-16,Juventus,1413,6.97,18,90,6.9,1,OK
Danilo,1064039,March 2026,2025-11-19,2026-03-16,Flamengo,903,7.31,12,95,7.6,2,OK
Douglas Santos,243583,March 2026,2025-11-19,2026-03-16,Zenit,270,7.43,5,166,6.6,2,OK
Ibañez,888949,March 2026,2025-11-19,2026-03-16,Al-Ahli,1863,7.36,22,80,6.7,2,OK
Leo Pereira,358548,March 2026,2025-11-19,2026-03-16,Flamengo,1656,7.26,19,180,6.65,2,OK
Marquinhos,155995,March 2026,2025-11-19,2026-03-16,PSG,1265,7.05,15,90,7,1,OK
Wesley,1134200,March 2026,2025-11-19,2026-03-16,Roma,1579,6.99,21,71,6.2,1,OK
Andrey Santos,1105779,March 2026,2025-11-19,2026-03-16,Chelsea,1413,6.97,22,85,6.55,2,OK
Casemiro,122951,March 2026,2025-11-19,2026-03-16,Manchester United,1456,7.19,19,145,7,2,OK
Danilo,1064039,March 2026,2025-11-19,2026-03-16,Botafogo,903,7.31,12,95,7.6,2,OK
Fabinho,243585,March 2026,2025-11-19,2026-03-16,Al-Ittihad,1924,7.15,22,29,7,1,OK
Gabriel Sara,913593,March 2026,2025-11-19,2026-03-16,Galatasaray,1576,7.26,22,15,7,1,OK
Endrick,1174937,March 2026,2025-11-19,2026-03-16,Lyon,1043,7.21,14,14,7.8,1,OK
Gabriel Martinelli,922573,March 2026,2025-11-19,2026-03-16,Arsenal,1360,6.92,28,85,7.1,2,OK
Igor Thiago,1016907,March 2026,2025-11-19,2026-03-16,Brentford,1760,6.9,20,42,6.7,2,OK
João Pedro,975079,March 2026,2025-11-19,2026-03-16,Chelsea,1845,7.11,27,95,6.35,2,OK
Luiz Henrique,1035995,March 2026,2025-11-19,2026-03-16,Zenit,544,7,11,121,7.45,2,OK
Matheus Cunha,886363,March 2026,2025-11-19,2026-03-16,Manchester United,1398,7.06,18,147,7.05,2,OK
Raphinha,831005,March 2026,2025-11-19,2026-03-16,Barcelona,1450,7.52,22,45,6.2,1,OK
Rayan,1464966,March 2026,2025-11-19,2026-03-16,Bournemouth,1343,7.34,16,14,6.7,1,OK
Vinícius Júnior,868812,March 2026,2025-11-19,2026-03-16,Real Madrid,2110,7.38,25,157,6.9,2,OK
